Id;Face;Seconds;aus;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;Imagem
_tEzHfvUR0I ; face1;0;Aus;0.0;0.0;0.25;0.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;2.48;0.0;_tEzHfvUR0I - face1
_tEzHfvUR0I ; face2;0;Aus;0.0;0.0;0.11;0.0;0.89;0.58;0.37;1.22;1.09;1.2;0.78;0.89;0.17;0.3;1.08;0.83;0.0;_tEzHfvUR0I - face2
36xVgGxJPg ; face1;0;Aus;0.0;0.0;0.26;0.0;1.21;0.5;0.61;1.36;1.09;1.2;0.96;1.46;0.94;0.37;1.05;0.48;0.0;36xVgGxJPg - face1
36xVgGxJPg ; face2;0;Aus;0.85;0.66;0.26;0.54;0.48;0.4;0.61;0.53;0.05;0.37;0.96;1.46;0.94;0.37;0.35;1.16;0.0;36xVgGxJPg - face2
HYrmCkAzutk ; face1;0;Aus;0.85;0.66;0.23;0.54;0.44;0.37;0.45;0.14;0.11;0.11;0.45;0.96;0.77;0.07;0.35;1.16;0.0;HYrmCkAzutk - face1
HYrmCkAzutk ; face2;0;Aus;0.85;0.66;0.24;0.54;0.32;0.8;0.35;0.47;0.33;0.46;0.27;0.46;0.0;0.0;0.64;1.05;0.22;HYrmCkAzutk - face2
KAgqZlvoo4Y ; face1;0;Aus;0.4;0.04;0.72;0.0;0.32;0.79;0.35;0.86;0.48;0.79;0.33;0.81;0.0;0.0;0.74;1.28;0.72;KAgqZlvoo4Y - face1
KAgqZlvoo4Y ; face2;0;Aus;0.4;0.04;0.77;0.13;0.21;0.74;0.14;1.22;0.5;0.99;0.11;0.72;0.0;0.0;1.43;2.13;0.72;KAgqZlvoo4Y - face2
KB1iSR4gsiw ; face1;0;Aus;0.5;0.04;0.53;0.13;0.24;0.49;0.0;1.5;0.83;1.0;0.11;1.44;0.37;0.17;1.14;1.76;0.5;KB1iSR4gsiw - face1
KB1iSR4gsiw ; face2;0;Aus;0.1;0.0;0.06;0.13;0.56;0.84;0.09;1.7;1.3;1.09;0.05;1.32;0.37;0.22;1.16;0.85;0.31;KB1iSR4gsiw - face2
m7u_USLL8GU ; face1;0;Aus;0.1;0.0;0.01;0.0;0.56;0.77;0.09;1.35;1.41;0.78;0.1;2.2;0.37;0.85;0.47;0.42;0.44;m7u_USLL8GU - face1
m7u_USLL8GU ; face2;0;Aus;1.02;0.85;0.01;0.08;0.32;0.59;0.09;0.73;1.29;0.6;0.1;1.77;0.0;0.68;0.89;1.24;0.44;m7u_USLL8GU - face2
mwWBlRhgoEw ; face1;0;Aus;1.24;0.85;0.0;0.13;0.0;0.0;0.0;0.14;0.68;0.19;0.1;1.93;0.0;0.63;0.53;1.6;0.44;mwWBlRhgoEw - face1
mwWBlRhgoEw ; face2;0;Aus;1.72;0.85;0.18;0.13;0.0;0.0;0.0;0.14;0.45;0.19;0.0;1.16;0.06;0.0;0.74;1.24;0.31;mwWBlRhgoEw - face2
N6yZHIu2WfE ; face1;0;Aus;1.75;0.0;0.36;0.05;0.15;0.63;0.0;0.07;0.0;0.22;0.0;1.25;0.63;0.0;0.44;0.9;0.31;N6yZHIu2WfE - face1
N6yZHIu2WfE ; face2;0;Aus;1.52;0.0;0.36;0.0;0.35;0.63;0.0;0.37;0.05;0.85;0.6;1.73;0.66;0.15;0.32;0.55;0.0;N6yZHIu2WfE - face2
qNU3jj6NS4A ; face1;0;Aus;1.05;0.0;0.3;0.0;0.6;0.73;0.15;0.58;0.38;1.23;0.6;1.85;0.6;0.15;0.29;0.49;0.0;qNU3jj6NS4A - face1
qNU3jj6NS4A ; face2;0;Aus;0.0;0.0;0.12;0.0;0.49;0.44;0.15;0.52;0.4;1.0;0.6;2.57;0.28;0.69;0.18;0.55;0.0;qNU3jj6NS4A - face2
qNU3jj6NS4A ; face3;0;Aus;0.0;0.0;0.12;0.0;0.29;0.44;0.15;0.21;0.35;0.38;0.0;1.7;0.25;0.54;0.18;0.55;0.0;qNU3jj6NS4A - face3
qxXBIdhrrLM ; face1;0;Aus;0.0;0.0;0.0;0.0;0.04;0.33;0.0;0.0;0.02;0.0;0.0;1.17;0.25;0.54;0.0;0.55;0.0;qxXBIdhrrLM - face1
qxXBIdhrrLM ; face2;0;Aus;0.44;0.09;0.04;0.0;0.0;0.0;0.0;0.54;0.24;0.0;0.0;0.0;0.0;0.0;0.34;0.37;0.03;qxXBIdhrrLM - face2
venaCEUBOwg ; face1;0;Aus;1.17;0.74;0.04;0.0;0.0;0.0;0.0;0.64;0.45;0.0;0.15;0.0;0.0;0.0;0.56;0.61;0.03;venaCEUBOwg - face1
venaCEUBOwg ; face2;0;Aus;1.17;0.74;0.04;0.0;0.0;0.0;0.0;0.64;0.45;0.0;0.42;0.4;0.57;0.05;0.72;0.61;0.65;venaCEUBOwg - face2
xGkZyDoqaLU ; face1;0;Aus;0.72;0.66;0.0;0.0;0.28;0.35;0.0;0.34;0.58;0.54;0.49;0.92;0.57;0.05;1.13;0.24;1.04;xGkZyDoqaLU - face1
xGkZyDoqaLU ; face2;0;Aus;0.0;0.0;0.01;0.0;0.85;1.06;0.0;0.73;1.1;1.61;0.2;1.55;0.0;0.0;2.23;0.0;1.26;xGkZyDoqaLU - face2
