Image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM;STD
frame_det_00_000025;1.33;0.09;0.0;0.41;0.0;0.0;0.41;0.0;0.0;0.0;0.0;0.0;0.26;0.0;0.0;0.13;0.58;3.210;0.347
frame_det_00_000134;0.0;0.0;0.0;0.25;0.99;0.0;1.01;1.06;1.5;1.51;0.0;0.0;0.0;0.0;1.57;0.7;0.02;8.610;0.628
frame_det_00_000135;0.0;0.0;0.0;0.25;0.94;0.0;0.91;1.22;1.56;1.11;0.0;0.0;0.0;0.0;1.59;0.56;0.0;8.140;0.606
frame_det_00_000136;0.0;0.0;0.0;0.0;0.96;0.0;0.92;1.21;1.65;0.9;0.0;0.0;0.0;0.0;1.62;0.48;0.0;7.740;0.617
frame_det_00_000137;0.0;0.0;0.0;0.0;0.87;0.0;0.89;1.11;1.56;1.07;0.0;0.0;0.0;0.0;1.49;0.63;0.0;7.620;0.590
frame_det_00_000138;0.0;0.0;0.0;0.0;1.0;0.0;0.95;1.15;1.62;1.16;0.0;0.0;0.0;0.0;1.53;0.54;0.0;7.950;0.618
frame_det_00_000139;0.0;0.0;0.0;0.0;0.97;0.0;1.01;1.18;1.47;1.04;0.0;0.0;0.0;0.0;1.56;0.57;0.0;7.800;0.601
frame_det_00_000140;0.0;0.0;0.0;0.0;1.03;0.0;1.04;1.21;1.49;0.99;0.0;0.0;0.0;0.0;1.59;0.42;0.0;7.770;0.610
frame_det_00_000141;0.0;0.0;0.0;0.0;1.07;0.0;1.09;1.23;1.51;1.3;0.0;0.0;0.0;0.0;1.55;0.63;0.0;8.380;0.637
frame_det_00_000142;0.0;0.0;0.0;0.0;1.02;0.0;1.05;1.16;1.52;1.02;0.0;0.0;0.0;0.0;1.55;0.69;0.0;8.010;0.609
frame_det_00_000143;0.0;0.0;0.0;0.0;0.99;0.0;1.08;1.19;1.5;1.17;0.0;0.0;0.0;0.0;1.56;0.48;0.0;7.970;0.618
frame_det_00_000144;0.0;0.0;0.0;0.0;1.02;0.01;1.06;1.28;1.46;1.2;0.0;0.0;0.0;0.0;1.6;0.33;0.0;7.960;0.628
frame_det_00_000145;0.0;0.0;0.0;0.0;0.79;0.0;1.07;1.01;1.45;1.2;0.0;0.0;0.0;0.0;1.57;0.61;0.0;7.700;0.596
frame_det_00_000146;0.0;0.0;0.0;0.0;1.03;0.0;1.12;1.1;1.44;1.25;0.0;0.0;0.0;0.0;1.54;0.33;0.0;7.810;0.615
frame_det_00_000147;0.0;0.0;0.0;0.0;0.95;0.0;1.08;1.09;1.47;0.97;0.0;0.0;0.0;0.0;1.58;0.48;0.0;7.620;0.595
frame_det_00_000148;0.0;0.0;0.0;0.0;0.97;0.0;1.2;1.08;1.47;0.97;0.0;0.0;0.0;0.0;1.64;0.69;0.0;8.020;0.614
frame_det_00_000149;0.0;0.0;0.0;0.0;1.05;0.0;1.18;1.11;1.52;0.99;0.0;0.0;0.0;0.0;1.54;0.48;0.0;7.870;0.611
frame_det_00_000150;0.0;0.0;0.0;0.0;1.05;0.0;1.14;1.02;1.41;1.17;0.0;0.0;0.0;0.0;1.57;0.63;0.0;7.990;0.608
