Image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM;STD
frame_det_00_000003;0.2;0.0;0.15;0.0;2.98;0.38;1.84;2.13;3.08;2.0;0.0;0.0;0.56;0.0;2.09;0.62;0.0;16.030;1.130
frame_det_00_000004;0.09;0.0;0.26;0.0;3.3;0.6;1.97;2.6;3.14;1.7;0.0;0.0;0.51;0.12;2.1;0.56;0.0;16.950;1.194
frame_det_00_000005;0.0;0.0;0.73;0.0;3.25;1.16;2.2;2.47;3.1;1.54;0.0;0.0;0.1;0.0;2.09;0.77;0.0;17.410;1.186
frame_det_00_000006;0.33;0.0;0.8;0.0;3.14;1.04;2.14;2.54;2.98;1.87;0.0;0.0;0.13;0.0;2.23;0.46;0.0;17.660;1.171
frame_det_00_000007;0.08;0.0;0.9;0.0;3.19;1.04;2.07;2.72;2.99;1.48;0.0;0.0;0.28;0.0;2.18;0.68;0.0;17.610;1.171
frame_det_00_000008;0.11;0.0;0.99;0.0;3.11;1.1;2.04;2.75;2.87;1.59;0.0;0.0;0.29;0.0;2.28;1.05;0.0;18.180;1.154
frame_det_00_000009;0.0;0.0;0.94;0.0;3.12;0.7;2.16;2.67;2.9;1.94;0.0;0.0;0.37;0.0;2.24;0.71;0.0;17.750;1.178
frame_det_00_000010;0.26;0.0;0.77;0.0;2.99;0.91;1.9;2.63;2.82;2.51;0.0;0.0;0.84;0.04;2.26;0.91;0.0;18.840;1.145
frame_det_00_000011;0.11;0.0;0.74;0.1;2.97;0.81;2.02;2.67;2.78;2.49;0.0;0.0;0.62;0.0;2.25;0.68;0.0;18.240;1.160
frame_det_00_000012;0.15;0.0;0.45;0.0;2.86;1.05;1.76;2.67;2.96;2.02;0.0;0.0;0.29;0.35;2.17;1.81;0.0;18.540;1.133
frame_det_00_000013;0.01;0.0;0.33;0.11;2.92;0.89;1.6;2.75;3.13;2.35;0.0;0.0;0.26;0.44;2.21;1.26;0.0;18.260;1.173
frame_det_00_000014;0.26;0.0;0.32;0.0;2.9;0.76;1.64;2.79;2.97;1.93;0.0;0.0;0.34;0.5;1.98;1.05;0.0;17.440;1.109
frame_det_00_000015;0.19;0.0;0.55;0.0;2.85;0.99;1.47;2.63;3.05;1.81;0.0;0.0;0.38;0.31;2.16;1.04;0.0;17.430;1.096
frame_det_00_000016;0.1;0.0;0.53;0.0;2.88;0.86;1.55;2.6;3.03;1.36;0.0;0.0;0.58;0.26;2.12;1.55;0.0;17.420;1.089
frame_det_00_000017;0.22;0.0;0.58;0.0;2.76;0.7;2.31;1.47;2.03;0.52;0.34;0.0;0.0;0.41;1.97;2.49;0.0;15.800;1.002
frame_det_00_000018;0.14;0.0;0.16;0.0;2.69;0.5;1.68;2.59;3.1;1.49;0.0;0.0;0.34;0.0;2.33;0.78;0.0;15.800;1.128
frame_det_00_000019;0.23;0.0;0.31;0.0;2.8;0.48;1.64;2.83;3.16;1.82;0.0;0.0;0.06;0.0;2.25;0.82;0.0;16.400;1.176
frame_det_00_000020;0.13;0.0;0.0;0.0;2.77;0.43;1.53;2.79;3.04;1.7;0.0;0.0;0.24;0.0;2.16;0.45;0.0;15.240;1.156
frame_det_00_000021;0.0;0.0;0.15;0.0;2.57;0.54;1.38;2.57;3.17;1.56;0.0;0.0;0.0;0.0;2.26;0.74;0.0;14.940;1.130
frame_det_00_000022;0.4;0.0;0.15;0.0;2.64;0.0;1.53;2.63;3.0;1.83;0.0;0.0;0.17;0.0;2.15;0.57;0.0;15.070;1.128
frame_det_00_000023;0.34;0.0;0.13;0.14;2.68;0.4;1.6;2.36;3.12;1.77;0.0;0.0;0.29;0.0;2.21;0.77;0.0;15.810;1.100
frame_det_00_000024;0.03;0.0;0.21;0.0;2.72;0.13;1.43;2.6;3.16;1.35;0.0;0.0;0.26;0.0;2.22;0.89;0.0;15.000;1.135
frame_det_00_000025;0.05;0.0;0.22;0.0;2.73;0.09;1.49;2.45;3.02;1.39;0.0;0.0;0.14;0.0;2.22;0.87;0.0;14.670;1.113
frame_det_00_000026;0.04;0.0;0.32;0.0;2.58;0.0;1.53;2.37;2.99;1.7;0.0;0.0;0.22;0.0;2.14;0.79;0.0;14.680;1.093
frame_det_00_000027;0.27;0.0;0.08;0.0;2.64;0.25;1.7;2.34;3.04;1.78;0.0;0.0;0.36;0.0;2.11;0.75;0.0;15.320;1.096
frame_det_00_000028;0.15;0.0;0.09;0.0;2.73;0.42;1.47;2.62;3.07;1.5;0.0;0.0;0.12;0.0;2.14;1.04;0.0;15.350;1.123
frame_det_00_000029;0.25;0.0;0.12;0.0;2.87;0.14;1.41;2.61;3.32;1.87;0.0;0.0;0.1;0.0;2.13;0.54;0.0;15.360;1.189
frame_det_00_000030;0.24;0.0;0.36;0.0;2.77;0.24;1.45;2.48;3.12;1.54;0.0;0.0;0.18;0.0;2.11;0.58;0.0;15.070;1.111
frame_det_00_000031;0.2;0.0;0.05;0.0;2.79;0.57;1.46;2.64;3.14;1.49;0.0;0.0;0.14;0.0;2.22;0.71;0.0;15.410;1.141
frame_det_00_000032;0.16;0.0;0.21;0.0;2.68;0.11;1.42;2.56;3.07;1.68;0.0;0.0;0.0;0.0;2.0;0.97;0.0;14.860;1.119
frame_det_00_000033;0.2;0.0;0.39;0.08;2.84;0.31;1.48;2.51;3.08;1.91;0.0;0.0;0.2;0.0;2.05;0.85;0.0;15.900;1.120
frame_det_00_000034;0.15;0.0;0.38;0.0;2.8;0.93;1.56;2.78;2.98;1.67;0.0;0.0;0.26;0.0;2.09;0.99;0.0;16.590;1.116
frame_det_00_000035;0.18;0.0;0.32;0.35;2.71;0.18;1.32;2.49;3.07;1.7;0.0;0.0;0.27;0.0;2.02;1.27;0.0;15.880;1.085
frame_det_00_000036;0.45;0.0;0.48;0.04;2.94;0.83;1.53;2.26;2.95;1.68;0.0;0.0;0.51;0.0;2.15;0.95;0.0;16.770;1.060
frame_det_00_000060;0.69;0.0;0.0;0.88;0.48;0.0;0.0;0.12;1.77;1.41;0.0;0.0;0.0;0.1;1.02;1.59;0.0;8.060;0.631
frame_det_00_000146;1.84;0.61;0.0;0.79;0.94;0.41;0.22;0.1;1.06;0.11;0.55;0.0;0.0;0.0;0.69;0.0;0.0;7.320;0.516
frame_det_00_000147;1.34;0.06;0.0;0.0;0.72;0.0;0.09;0.89;1.2;1.38;0.54;0.0;0.0;0.0;0.69;0.0;0.0;6.910;0.526
frame_det_00_000148;1.37;0.15;0.0;0.0;0.78;0.0;0.11;0.87;1.28;1.04;0.46;0.0;0.0;0.0;0.76;0.0;0.0;6.820;0.503
frame_det_00_000149;1.47;0.17;0.0;0.16;0.76;0.04;0.22;0.93;1.33;1.17;0.48;0.0;0.0;0.0;0.87;0.0;0.0;7.600;0.527
frame_det_00_000150;1.38;0.13;0.0;0.22;0.83;0.29;0.1;0.88;1.47;1.18;0.36;0.0;0.0;0.0;0.85;0.0;0.0;7.690;0.528
frame_det_00_000151;1.35;0.0;0.0;0.07;1.0;0.13;0.05;0.8;1.5;1.07;0.36;0.0;0.0;0.0;0.95;0.0;0.0;7.280;0.548
frame_det_00_000152;1.3;0.03;0.0;0.26;0.94;0.32;0.03;0.83;1.45;0.94;0.32;0.0;0.0;0.0;0.86;0.0;0.0;7.280;0.509
frame_det_00_000153;1.31;0.0;0.0;0.47;0.83;0.28;0.02;0.63;1.33;1.0;0.26;0.0;0.0;0.0;0.79;0.0;0.0;6.920;0.484
frame_det_00_000154;1.33;0.04;0.0;0.14;0.93;0.45;0.0;0.48;1.47;0.94;0.18;0.0;0.0;0.0;0.83;0.0;0.0;6.790;0.509
frame_det_00_000155;1.2;0.05;0.0;0.0;1.0;0.66;0.0;0.44;1.46;0.73;0.13;0.0;0.0;0.0;0.72;0.0;0.0;6.390;0.492
frame_det_00_000156;1.33;0.13;0.0;0.0;1.04;0.34;0.0;0.5;1.5;0.84;0.24;0.0;0.0;0.0;0.62;0.0;0.0;6.540;0.507
frame_det_00_000157;1.41;0.21;0.0;0.0;1.04;0.43;0.0;0.39;1.48;0.83;0.16;0.0;0.0;0.0;0.68;0.0;0.0;6.630;0.514
frame_det_00_000158;1.42;0.17;0.0;0.0;1.02;0.38;0.0;0.45;1.52;1.01;0.15;0.0;0.0;0.0;0.64;0.0;0.0;6.760;0.531
frame_det_00_000159;1.51;0.14;0.0;0.0;0.99;0.29;0.0;0.42;1.51;1.04;0.22;0.0;0.0;0.0;0.69;0.0;0.0;6.810;0.542
frame_det_00_000160;1.44;0.1;0.0;0.0;1.02;0.25;0.0;0.33;1.53;1.03;0.33;0.0;0.0;0.0;0.66;0.0;0.0;6.690;0.537
frame_det_00_000161;1.35;0.13;0.0;0.0;1.05;0.09;0.0;0.23;1.52;1.11;0.27;0.0;0.0;0.0;0.69;0.0;0.0;6.440;0.539
frame_det_00_000163;1.41;0.23;0.0;0.0;1.0;0.08;0.0;0.17;1.51;1.12;0.26;0.0;0.0;0.0;0.6;0.0;0.0;6.380;0.539
frame_det_00_000167;1.55;0.25;0.0;0.0;0.93;0.24;0.0;0.2;1.37;1.05;0.35;0.0;0.0;0.0;0.56;0.0;0.0;6.500;0.522
frame_det_00_000168;1.3;0.1;0.0;0.0;0.86;0.25;0.0;0.37;1.34;0.95;0.22;0.0;0.0;0.0;0.63;0.0;0.0;6.020;0.478
frame_det_00_000169;1.25;0.15;0.0;0.0;0.81;0.26;0.0;0.46;1.32;0.94;0.25;0.0;0.0;0.0;0.62;0.0;0.0;6.060;0.463
frame_det_00_000170;1.53;0.34;0.0;0.0;0.79;0.12;0.0;0.5;1.33;1.01;0.17;0.0;0.0;0.0;0.68;0.0;0.0;6.470;0.510
frame_det_00_000171;1.33;0.17;0.0;0.0;0.94;0.52;0.0;0.51;1.29;1.03;0.25;0.0;0.0;0.0;0.7;0.0;0.0;6.740;0.488
frame_det_00_000172;1.43;0.25;0.0;0.0;0.84;0.53;0.0;0.31;1.3;0.98;0.2;0.0;0.0;0.0;0.68;0.0;0.0;6.520;0.490
frame_det_00_000173;1.41;0.2;0.0;0.0;0.78;0.65;0.0;0.55;1.22;1.17;0.29;0.0;0.0;0.0;0.69;0.0;0.0;6.960;0.496
frame_det_00_000174;1.57;0.28;0.0;0.0;0.74;0.21;0.0;0.59;1.23;0.89;0.39;0.0;0.0;0.0;0.75;0.0;0.0;6.650;0.494
frame_det_00_000175;1.55;0.21;0.0;0.0;0.71;0.12;0.0;0.59;1.09;0.9;0.3;0.0;0.0;0.0;0.66;0.0;0.0;6.130;0.476
frame_det_01_000121;0.37;0.0;0.59;1.06;0.0;0.0;0.48;0.0;0.29;0.07;0.09;0.0;2.33;0.0;1.83;1.38;0.0;8.490;0.724
