image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
jules_joy_104;2.87;2.79;0.0;2.65;1.46;1.47;0.0;0.0;2.45;1.75;0.0;0.19;0.8;0.0;2.84;1.83;0.0;21.100
jules_joy_110;2.62;2.54;0.0;3.0;1.13;1.25;0.0;0.0;2.51;1.44;0.0;0.13;0.36;0.0;2.46;1.56;0.0;19.000
jules_joy_116;2.26;2.63;0.0;3.43;0.94;0.79;0.0;0.0;2.53;1.44;0.0;0.51;0.15;0.0;1.69;1.23;0.0;17.600
jules_joy_122;2.96;2.82;0.0;2.07;1.63;1.84;0.0;0.0;2.53;1.77;0.0;0.0;1.08;0.0;3.26;2.07;0.0;22.030
jules_joy_128;2.69;2.35;0.0;2.4;1.33;1.63;0.0;0.0;2.69;1.49;0.0;0.22;0.68;0.0;2.63;1.52;0.0;19.630
jules_joy_134;2.5;2.11;0.0;2.63;1.09;1.59;0.0;0.0;2.96;1.46;0.0;0.25;0.45;0.0;1.94;1.24;0.0;18.220
jules_joy_140;2.2;1.87;0.0;2.65;1.07;1.75;0.0;0.0;3.01;1.11;0.0;0.34;0.16;0.1;1.0;0.4;0.0;15.660
jules_joy_146;1.98;1.59;0.0;2.72;1.06;1.21;0.0;0.0;3.31;1.07;0.0;0.0;0.0;0.22;0.0;0.0;0.0;13.160
jules_joy_22;2.21;2.2;0.0;0.46;1.57;1.09;0.0;0.0;3.08;1.8;0.0;0.55;0.81;0.0;2.28;0.97;2.05;19.070
jules_joy_37;2.65;2.41;0.0;1.87;1.68;1.96;0.0;0.0;2.64;1.69;0.0;0.29;0.99;0.0;2.72;1.9;0.0;20.800
jules_joy_52;2.32;2.23;0.0;2.06;1.43;2.1;0.0;0.0;2.78;1.73;0.0;0.5;0.38;0.24;0.7;1.04;0.0;17.510
jules_joy_67;2.56;2.49;0.0;2.03;1.6;1.82;0.0;0.0;2.12;2.08;0.14;1.02;1.53;0.31;1.87;2.18;0.0;21.750
jules_joy_7;2.68;2.53;0.0;0.88;1.91;2.32;0.0;0.0;2.62;1.8;0.0;0.03;1.0;0.0;3.37;1.97;0.57;21.680
jules_joy_82;2.93;2.8;0.0;1.9;1.63;1.62;0.0;0.0;2.54;1.72;0.0;0.0;1.05;0.0;3.53;2.31;0.0;22.030
jules_joy_92;2.56;2.66;0.0;2.85;1.4;1.31;0.0;0.0;2.65;1.27;0.0;0.07;0.96;0.0;2.71;1.92;0.0;20.360
jules_joy_98;2.84;2.87;0.0;1.65;1.83;2.14;0.0;0.0;2.45;1.71;0.0;0.0;1.12;0.0;3.49;2.32;0.0;22.420
malcolm_joy_24;0.77;0.0;0.0;1.9;2.7;3.91;0.0;1.68;3.29;2.62;0.0;0.0;0.0;0.31;2.59;1.51;0.0;21.280
malcolm_joy_357;0.87;0.0;0.0;1.6;2.82;3.8;0.0;1.76;3.06;2.72;0.0;0.0;0.0;0.23;2.74;1.71;0.0;21.310
malcolm_joy_363;1.81;2.88;0.0;0.0;2.74;3.64;0.0;0.81;3.6;1.49;0.01;0.0;0.32;0.13;2.55;0.22;1.39;21.590
malcolm_joy_369;1.55;2.39;0.0;0.42;2.26;3.51;0.0;0.3;3.44;0.85;0.06;0.0;0.0;0.39;1.38;0.75;0.69;17.990
malcolm_joy_375;1.49;2.45;0.0;1.43;1.82;3.59;0.0;0.1;3.35;0.73;0.0;0.0;0.26;0.35;0.9;0.43;0.57;17.470
malcolm_joy_381;0.78;0.0;0.0;1.68;2.81;4.38;0.03;1.67;3.08;2.76;0.0;0.0;0.0;0.27;2.91;1.77;0.0;22.140
