image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
CFD-BM-001-011-HO;0.75;0.39;0.0;0.0;2.73;2.11;1.83;2.13;1.86;1.52;0.0;0.0;0.49;0.38;0.58;0.17;0.0;14.940
CFD-BM-002-007-HO;0.7;1.96;0.0;0.05;4.11;0.59;0.36;2.4;4.74;1.21;0.0;0.1;0.0;0.11;3.33;0.06;0.0;19.720
CFD-BM-003-021-HO;0.84;0.99;0.63;1.15;3.23;0.8;1.72;3.38;3.74;1.24;0.0;0.0;0.0;0.0;3.23;2.21;0.0;23.160
CFD-BM-005-005-HO;1.9;2.28;0.0;0.76;2.87;3.2;1.35;2.65;3.83;1.56;0.0;0.0;0.0;0.4;2.12;0.27;0.7;23.890
CFD-BM-019-004-HO;1.13;1.59;0.54;0.75;3.27;0.0;0.92;2.42;4.45;1.84;0.0;0.0;0.0;0.25;3.33;0.54;0.17;21.200
CFD-BM-020-026-HO;0.89;1.93;0.0;0.14;4.21;3.08;1.63;4.24;4.43;1.14;0.08;0.0;0.0;0.27;3.63;0.94;0.0;26.610
CFD-BM-021-022-HO;0.17;1.05;0.31;0.09;4.22;2.5;2.09;3.75;4.54;2.06;0.0;0.0;0.0;0.11;3.28;1.08;0.82;26.070
CFD-BM-022-027-HO;1.14;1.88;0.0;1.12;3.38;2.08;1.01;3.12;3.95;3.01;0.0;0.0;0.0;0.39;3.76;1.43;0.47;26.740
CFD-BM-023-006-HO;0.87;2.15;0.0;1.28;3.57;0.95;0.93;2.31;4.19;1.47;0.0;0.01;0.0;0.13;2.88;0.72;0.0;21.460
CFD-BM-024-061-HO;0.9;2.44;0.0;0.37;2.02;1.01;0.32;2.11;3.74;0.9;0.0;0.0;0.57;0.28;3.36;0.88;0.0;18.900
CFD-BM-025-040-HO;1.53;3.01;0.0;0.91;3.94;2.56;0.92;3.84;4.39;2.65;0.0;0.0;0.0;0.0;3.46;1.67;0.0;28.880
CFD-BM-026-009-HO;0.93;0.48;1.11;0.32;4.33;3.47;1.67;2.18;4.06;1.08;0.0;0.0;0.0;0.42;3.35;0.93;0.43;24.760
CFD-BM-028-028-HO;0.76;1.17;0.0;0.63;2.34;0.23;0.66;2.93;3.32;1.51;0.79;0.11;1.09;0.0;2.82;0.68;0.91;19.950
CFD-BM-029-029-HO;1.45;0.75;0.63;0.8;2.27;1.71;0.34;2.15;3.27;1.75;0.01;0.0;1.23;0.22;3.39;0.26;0.45;20.680
CFD-BM-030-004-HO;0.8;0.92;0.23;0.45;3.49;1.55;0.86;2.4;4.02;1.75;0.0;0.0;0.0;0.3;2.91;0.94;0.0;20.620
CFD-BM-031-004-HO;0.0;0.0;0.51;0.0;3.9;3.09;0.32;2.9;4.24;1.64;0.36;0.0;0.22;0.0;3.59;0.0;0.0;20.770
CFD-BM-032-007-HO;1.13;1.27;0.54;0.0;3.95;2.71;1.28;2.34;4.11;1.35;0.0;1.07;0.0;0.08;2.96;1.18;0.0;23.970
CFD-BM-033-029-HO;1.19;1.86;0.79;1.56;3.1;0.24;0.9;3.37;3.82;1.42;0.0;0.25;0.0;0.0;2.66;0.0;0.0;21.160
CFD-BM-034-033-HO;1.14;0.55;0.33;0.02;3.64;0.67;0.98;3.45;3.8;1.98;0.0;0.97;0.63;0.28;3.23;0.9;0.0;22.570
CFD-BM-036-004-HO;0.83;1.02;0.19;1.16;3.31;1.63;0.57;2.1;4.26;1.8;0.0;0.0;0.0;0.0;3.42;0.0;0.0;20.290
CFD-BM-037-036-HO;1.63;1.93;0.0;1.0;3.42;2.71;0.25;2.71;3.87;1.44;0.0;0.19;0.11;0.47;2.01;1.8;0.0;23.540
CFD-BM-038-007-HO;0.91;0.51;0.82;0.59;4.39;2.37;1.4;4.53;4.08;2.1;0.0;0.48;0.13;0.0;3.37;0.73;0.83;27.240
CFD-BM-039-034-HO;0.72;2.15;0.0;0.52;3.71;1.13;1.7;2.74;4.13;2.27;0.0;0.16;0.0;0.29;3.45;0.44;0.0;23.410
CFD-BM-040-030-HO;1.21;1.9;0.04;0.24;3.24;1.6;1.41;4.27;4.23;2.38;0.0;0.52;0.23;0.19;3.16;0.65;0.0;25.270
CFD-BM-041-041-HO;1.27;0.81;0.34;0.21;2.54;1.01;0.62;2.73;3.3;1.57;0.0;0.0;0.65;0.02;3.53;1.03;0.54;20.170
CFD-BM-043-076-HO;0.98;1.07;0.45;0.41;2.93;2.17;1.24;2.94;3.79;1.91;0.0;0.0;0.23;0.0;2.89;1.34;0.0;22.350
CFD-BM-044-037-HO;1.17;0.0;1.07;0.0;3.7;3.04;1.99;3.37;3.48;1.43;0.0;0.0;0.0;0.0;3.61;0.34;0.0;23.200
CFD-BM-045-055-HO;0.83;1.65;0.01;1.26;3.13;1.5;0.62;2.55;3.98;2.34;0.0;0.0;0.54;0.0;3.94;0.14;0.0;22.490
CFD-BM-046-039-HO;2.31;1.81;0.76;1.01;2.82;1.74;1.21;2.56;3.42;2.05;0.0;0.07;0.12;0.0;3.7;1.06;1.23;25.870
CFD-WM-001-011-HO;1.76;0.38;0.11;0.49;0.87;0.91;0.0;1.16;1.96;1.03;0.0;0.0;0.0;0.16;1.55;0.17;0.42;10.970
CFD-WM-002-007-HO;0.66;0.48;0.0;0.79;2.58;1.69;0.0;2.74;3.93;1.3;0.0;0.0;0.0;0.09;3.1;0.0;0.0;17.360
CFD-WM-003-003-HO;0.65;0.69;1.35;0.94;2.34;1.06;1.12;3.2;3.21;1.59;0.0;0.26;0.19;0.53;3.02;0.86;0.17;21.180
CFD-WM-004-006-HO;0.79;0.0;0.19;1.25;3.16;1.63;0.78;3.12;4.11;0.84;0.07;0.01;0.0;0.0;3.34;1.25;0.0;20.540
CFD-WM-006-010-HO;0.0;0.0;1.76;0.0;2.93;2.81;1.11;2.88;3.79;1.33;0.0;0.48;0.0;0.0;2.1;0.0;0.0;19.190
CFD-WM-009-004-HO;0.9;0.13;0.37;0.0;3.09;3.1;0.12;2.09;3.92;0.94;0.0;0.0;0.0;0.24;1.66;0.64;0.3;17.500
CFD-WM-010-004-HO;0.73;0.89;0.24;0.0;1.26;0.51;0.6;1.95;2.11;0.14;0.09;0.0;0.0;0.06;2.85;0.48;1.1;13.010
CFD-WM-011-003-HO;0.3;0.51;0.39;0.0;1.33;0.0;0.0;0.56;3.26;1.11;0.0;0.0;0.39;0.52;1.81;1.56;0.66;12.400
CFD-WM-012-005-HO;0.46;0.57;0.0;0.41;2.71;1.22;1.05;2.37;3.23;0.05;0.43;0.33;0.86;0.0;2.52;0.29;0.0;16.500
CFD-WM-013-006-HO;0.32;0.71;0.13;0.37;2.82;1.94;0.63;2.52;4.06;1.15;0.0;0.4;0.0;0.0;2.37;0.44;0.0;17.860
CFD-WM-014-004-HO;0.0;0.0;0.0;0.0;3.66;3.0;0.48;2.66;4.19;0.5;0.09;0.29;0.47;0.2;3.45;0.55;0.0;19.540
CFD-WM-015-005-HO;0.88;0.26;0.0;0.2;2.77;1.36;0.0;2.53;4.29;2.07;0.0;0.4;0.47;0.52;2.82;0.79;0.0;19.360
CFD-WM-016-002-HO;0.0;0.0;0.99;0.0;2.88;2.36;0.96;3.25;3.36;0.47;1.23;0.86;0.0;0.66;2.99;0.98;0.0;20.990
CFD-WM-017-005-HO;0.27;0.0;0.1;0.0;0.69;0.15;0.0;1.57;2.03;0.0;0.0;0.0;0.0;0.0;1.84;1.68;0.51;8.840
CFD-WM-018-004-HO;0.34;0.21;0.65;0.65;1.83;0.95;0.63;2.31;2.87;1.59;0.0;0.0;0.67;0.42;2.36;0.69;0.03;16.200
CFD-WM-019-009-HO;0.0;0.0;0.89;0.06;2.76;2.26;0.98;3.01;3.61;0.0;0.0;0.0;0.0;0.0;3.1;1.28;0.0;17.950
CFD-WM-020-003-HO;0.2;0.0;1.54;0.13;3.22;2.77;1.15;3.3;3.85;0.98;0.0;0.08;0.0;0.26;2.69;0.44;0.24;20.850
CFD-WM-021-004-HO;0.45;0.0;0.0;0.44;3.87;3.3;1.11;3.19;4.25;2.02;0.0;0.0;0.0;0.6;2.07;0.46;0.0;21.760
CFD-WM-022-005-HO;0.12;0.0;0.0;0.0;2.81;1.95;0.08;2.43;3.83;1.28;0.0;0.31;0.1;0.48;2.06;0.4;0.92;16.770
CFD-WM-023-004-HO;1.12;2.12;0.0;0.13;2.78;1.69;1.07;2.39;3.51;0.6;0.0;0.52;0.0;0.0;3.4;0.85;0.0;20.180
CFD-WM-024-003-HO;0.14;0.0;0.0;0.81;3.43;2.48;0.91;3.09;4.49;1.31;0.0;0.0;0.01;0.0;2.87;0.13;0.0;19.670
CFD-WM-025-019-HO;0.31;0.75;0.0;1.03;2.31;1.76;0.95;2.71;4.11;1.18;0.0;0.22;0.38;0.52;2.12;1.01;0.0;19.360
CFD-WM-034-035-HO;0.0;0.0;0.58;0.8;3.67;2.79;1.07;2.67;3.23;1.4;0.0;0.0;0.0;0.29;3.01;0.0;0.0;19.510
CFD-WM-035-033-HO;0.58;0.0;0.77;0.1;3.68;2.13;0.72;3.23;3.84;0.38;0.22;0.29;0.14;0.07;3.16;0.7;0.0;20.010
CFD-WM-036-034-HO;1.15;0.67;0.75;0.0;4.01;3.36;0.67;3.2;4.39;1.13;0.0;0.0;0.0;0.0;3.61;0.8;0.18;23.920
CFD-WM-037-034-HO;0.61;0.05;0.0;0.0;1.76;1.53;0.09;2.29;2.61;0.08;0.0;0.0;0.0;0.07;2.12;0.82;1.09;13.120
CFD-WM-038-005-HO;0.27;0.0;0.14;0.0;3.47;2.68;0.0;3.68;4.24;2.28;0.44;1.05;0.0;0.7;1.85;0.36;0.2;21.360
CFD-WM-039-008-HO;2.12;0.96;0.75;0.47;2.3;1.9;0.0;2.46;3.75;0.62;0.0;0.12;0.0;0.0;2.33;0.12;0.0;17.900
CFD-WM-040-023-HO;0.58;0.31;1.37;0.0;3.06;2.2;0.8;3.9;4.27;1.72;0.0;0.47;0.0;0.22;3.22;0.71;0.07;22.900
