image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
CFD-BF-001-018-HO;0.95;3.11;0.0;1.31;3.13;1.62;0.65;3.46;4.69;2.78;0.3;0.7;0.0;0.09;2.94;0.64;0.0;26.370
CFD-BF-002-004-HO;1.19;1.14;0.92;0.31;3.36;1.73;0.65;2.99;4.49;1.67;0.0;0.0;0.0;0.0;3.43;0.38;0.0;22.260
CFD-BF-003-004-HO;0.84;0.81;0.28;0.13;3.77;3.16;1.4;3.9;4.41;1.75;0.0;0.0;1.25;0.0;3.71;1.22;1.35;27.980
CFD-BF-004-009-HO;0.47;1.08;0.57;0.33;2.55;1.56;1.09;2.29;3.01;2.51;0.0;0.0;1.67;0.0;3.47;1.5;0.0;22.100
CFD-BF-005-005-HO;1.01;1.22;0.64;0.48;3.62;2.26;0.82;3.74;4.59;1.69;0.0;0.0;0.21;0.08;4.4;0.15;0.0;24.910
CFD-BF-006-006-HO;0.11;1.67;0.0;0.69;3.19;0.01;0.42;2.56;4.67;2.62;0.0;0.0;0.09;0.03;2.59;0.0;0.0;18.650
CFD-BF-007-004-HO;0.23;0.29;0.0;0.0;1.61;0.72;0.83;2.9;2.7;2.3;0.35;0.25;0.0;0.0;2.54;0.7;0.0;15.420
CFD-BF-008-003-HO;1.66;2.5;0.57;1.23;2.04;0.6;0.0;2.97;3.97;1.95;0.0;0.0;0.05;0.0;3.57;0.91;0.23;22.250
CFD-BF-009-006-HO;2.26;2.85;0.0;0.99;1.38;0.0;0.25;3.08;3.16;2.14;0.14;0.0;0.0;0.35;2.52;0.87;0.0;19.990
CFD-BF-010-003-HO;1.82;2.27;0.48;0.82;3.07;1.37;0.0;3.06;3.89;2.76;0.0;0.48;0.27;0.0;3.47;1.07;0.0;24.830
CFD-BF-011-004-HO;1.24;2.14;0.82;1.67;3.18;1.97;1.17;3.14;3.8;2.44;0.0;0.0;0.0;0.19;2.67;0.73;0.0;25.160
CFD-BF-012-019-HO;1.26;1.17;0.23;0.0;4.3;2.11;1.59;5.0;5.0;2.21;0.03;0.55;0.37;0.02;3.63;0.74;1.18;29.390
CFD-BF-013-003-HO;0.69;0.53;0.0;1.23;2.93;1.87;0.0;2.92;3.96;2.07;0.0;0.0;0.23;0.0;2.87;0.7;0.0;20.000
CFD-BF-014-004-HO;0.9;0.66;1.13;0.0;3.72;3.15;2.16;3.93;3.99;1.89;0.34;0.0;0.58;0.48;3.19;1.07;0.23;27.420
CFD-BF-015-006-HO;0.44;0.5;0.0;0.94;2.74;2.68;0.0;2.92;4.21;2.23;0.0;0.0;0.0;0.0;3.29;0.0;0.0;19.950
CFD-BF-016-018-HO;0.61;0.08;0.0;0.0;3.6;1.84;2.12;4.1;3.37;2.22;0.39;1.37;0.45;0.0;2.01;0.36;0.45;22.970
CFD-BF-017-004-HO;1.3;2.64;0.36;1.98;2.4;1.1;0.75;2.15;4.13;1.59;0.0;0.17;0.66;0.0;3.14;1.68;0.0;24.050
CFD-BF-018-040-HO;1.63;2.46;0.0;1.04;1.91;1.57;0.09;3.32;3.46;1.96;0.0;0.16;0.0;0.35;1.37;0.45;0.0;19.770
CFD-BF-019-022-HO;0.61;0.53;0.0;0.46;3.7;2.6;1.25;3.87;3.54;2.11;0.0;0.0;1.32;0.01;3.56;0.0;0.87;24.430
CFD-BF-041-004-HO;0.53;0.9;0.0;1.12;3.21;2.21;0.31;2.72;3.71;2.48;0.0;0.22;0.85;0.0;2.45;0.0;0.0;20.710
CFD-BF-042-028-HO;0.28;1.27;0.0;0.3;2.21;0.69;0.81;2.23;3.83;1.17;0.25;0.0;0.16;0.0;2.85;0.67;0.0;16.720
CFD-BF-043-004-HO;0.0;0.48;0.0;1.45;3.59;1.9;1.41;4.4;4.76;2.11;0.12;0.0;0.08;0.0;2.81;0.0;0.0;23.110
CFD-BF-044-007-HO;0.03;0.7;0.86;0.88;3.62;1.21;1.41;3.93;4.41;2.07;0.09;0.11;0.15;0.0;2.92;0.0;0.0;22.390
CFD-BF-045-062-HO;0.25;1.33;0.16;0.72;2.92;1.88;0.81;3.86;3.77;2.24;0.0;0.0;0.74;0.0;3.64;0.0;0.0;22.320
CFD-BF-047-028-HO;0.43;1.44;0.72;0.0;3.17;0.51;0.57;2.81;4.65;3.18;0.0;0.11;0.0;1.25;2.25;0.57;0.0;21.660
