image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
27C1aCfRCS4_frame_2254_1;0.0;0.64;0.11;0.23;1.91;3.95;0.88;2.46;3.13;0.8;0.45;0.0;0.0;0.27;2.39;0.0;0.6;17.820
A1F1_2002;0.0;0.0;0.0;0.0;2.26;0.4;1.89;1.55;1.8;2.21;0.0;0.0;1.23;0.0;1.1;0.43;0.51;13.380
A1F1_2009;0.0;0.0;0.0;0.0;2.38;1.15;1.99;1.42;1.53;2.38;0.1;0.0;1.17;0.0;1.46;0.18;0.18;13.940
A1F1_2448;0.0;0.0;0.39;0.23;2.53;1.67;2.29;1.74;1.93;2.29;0.0;0.0;0.78;0.09;1.85;0.0;0.39;16.180
A4F1;0.0;0.0;0.0;0.0;1.32;1.85;0.18;1.23;1.19;1.43;0.63;0.0;1.6;0.0;1.03;0.08;1.1;11.640
B4F1;0.11;0.0;0.0;0.1;1.85;2.67;1.28;2.74;1.02;0.0;1.81;0.33;0.0;0.36;2.64;0.8;1.52;17.230
B5F1;0.0;0.45;0.0;0.12;0.97;1.06;1.91;1.52;2.61;1.63;0.07;0.0;2.02;0.0;2.76;0.91;0.42;16.450
Ba4Rzj9veIw_frame_1799_1;1.76;0.9;0.0;0.0;1.59;0.68;0.18;1.32;1.8;2.65;0.0;0.0;1.07;0.37;1.31;0.0;0.12;13.750
frame_1585_1;0.0;0.07;1.02;0.0;1.78;0.02;0.0;1.2;3.31;1.38;0.0;0.0;0.0;0.27;2.34;0.0;0.76;12.150
frame_1588_1;0.0;0.02;1.17;0.0;2.02;0.0;0.04;1.32;3.38;1.82;0.0;0.0;0.37;0.38;2.62;0.31;0.76;14.210
frame_1595_1;0.0;0.0;0.0;0.49;3.18;4.09;0.0;1.2;3.7;0.5;0.0;0.0;0.0;0.0;2.12;0.36;0.0;15.640
frame_1602_1;0.0;0.0;0.0;0.0;2.81;3.89;0.0;0.75;3.12;0.26;0.0;0.0;0.0;0.0;1.78;0.0;1.02;13.630
frame_1616_1;1.11;0.0;0.0;1.75;0.94;3.08;1.41;3.75;0.87;1.99;1.47;0.16;1.37;0.07;2.39;1.25;1.71;23.320
frame_1822_1;0.0;0.0;0.78;0.0;1.76;0.0;0.0;1.58;2.56;1.79;0.0;0.0;1.11;0.0;1.43;0.0;1.64;12.650
frame_2207_1;0.52;0.24;0.0;0.0;0.87;0.52;0.99;0.92;2.28;2.19;0.0;0.0;0.91;0.45;0.13;0.83;0.3;11.150
frame_3079_1;0.97;0.0;0.0;0.0;1.24;1.0;0.74;2.65;1.26;1.13;0.44;0.0;0.68;0.0;1.48;0.7;0.0;12.290
frame_3092_1;0.06;0.0;0.0;0.0;2.34;1.86;1.1;1.74;2.06;0.97;1.8;0.0;0.0;0.0;2.09;0.34;0.0;14.360
frame_3730_1;0.0;0.0;0.0;0.0;2.83;2.93;0.76;2.21;2.71;2.12;0.0;0.0;0.0;0.0;2.76;0.0;1.32;17.640
frame_3740_1;0.0;0.0;0.0;0.0;2.71;2.87;0.84;2.8;2.66;2.93;0.23;0.0;0.0;0.16;2.77;0.0;1.04;19.010
frame_3743_1;0.0;0.0;0.0;0.0;2.92;2.65;0.85;2.51;2.72;2.38;0.25;0.0;0.0;0.0;2.67;0.0;1.04;17.990
frame_546_1;0.0;0.0;0.0;0.31;2.89;4.0;0.0;1.18;3.54;0.23;0.0;0.0;0.82;0.0;2.41;1.4;0.14;16.920
ioqCIL55B08_frame_1441_1;0.0;0.0;1.06;0.0;3.02;1.82;2.2;2.2;2.65;1.87;0.25;0.0;0.0;0.65;1.1;0.0;0.5;17.320
KgaVcMCKKGU_frame_1513_2;0.93;1.15;0.5;0.61;0.81;0.57;0.0;2.34;1.27;4.0;0.0;0.03;0.38;0.16;2.62;0.0;0.0;15.370
