Image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM;STD
27C1aCfRCS4_frame_2273_2;0.0;0.0;0.0;0.0;1.49;2.39;0.29;1.33;2.71;0.95;0.0;0.0;0.2;0.0;2.71;0.14;0.0;12.210;1.021
A1F1;0.14;0.0;1.53;0.77;1.64;2.45;1.21;2.08;1.2;1.3;1.18;0.0;0.99;0.0;2.73;2.24;0.0;19.460;0.906
A2F1_2101;0.0;0.0;0.0;0.0;1.78;0.32;0.18;2.42;2.14;1.05;0.0;0.0;0.0;0.0;1.81;0.8;1.37;11.870;0.878
A2F1_2228;0.0;0.0;0.0;0.0;1.33;0.11;0.0;1.06;2.76;1.34;0.0;0.0;0.38;0.0;1.94;0.0;0.15;9.070;0.844
A2F1_592;0.0;0.0;0.0;0.0;1.87;0.9;0.68;0.92;2.11;0.37;0.0;0.0;0.78;0.0;3.21;0.66;0.65;12.150;0.911
A3F1_3902;0.0;0.0;0.0;0.0;1.53;1.72;0.36;1.41;2.8;2.0;0.0;0.0;0.0;0.0;2.87;0.75;1.44;14.880;1.034
B3F1;0.85;0.0;0.0;0.0;2.33;2.48;0.0;1.49;2.28;0.97;0.0;0.0;0.72;0.53;2.47;1.07;0.58;15.770;0.949
B6F1;0.0;1.1;0.0;0.16;0.0;0.18;0.0;0.29;2.25;0.77;0.0;0.0;0.53;0.0;2.2;0.12;1.17;8.770;0.749
frame_1662_1;0.38;0.0;1.11;0.0;1.38;1.97;0.0;0.3;1.82;1.75;0.0;0.0;0.0;0.0;2.76;0.42;0.32;12.210;0.893
frame_1719_1;0.0;0.0;1.13;0.0;1.85;1.65;0.0;1.67;2.2;1.3;0.07;0.0;0.0;0.0;1.84;0.0;1.95;13.660;0.900
frame_1750_1;0.67;0.0;0.08;0.0;2.11;2.62;0.12;1.49;2.12;0.8;0.0;0.0;0.7;0.2;2.58;1.23;0.98;15.700;0.945
frame_1766_1;0.15;0.0;0.0;0.0;2.33;0.54;0.0;1.31;2.25;1.49;0.0;0.0;0.24;0.0;1.23;0.0;2.16;11.700;0.899
frame_1776_1;0.16;0.0;0.0;0.0;2.86;1.42;0.0;1.88;2.9;2.08;0.0;0.0;0.0;0.0;3.42;0.0;1.78;16.500;1.259
frame_1782_1;0.35;0.0;0.0;0.0;2.87;1.39;0.0;2.23;3.28;1.43;0.0;0.0;0.0;0.0;3.43;0.0;1.68;16.660;1.283
frame_2011_1;0.0;0.0;0.0;0.43;1.15;1.33;0.25;1.45;1.91;1.02;0.0;0.0;0.0;0.16;2.24;0.0;1.01;10.950;0.756
frame_2031_1;0.0;0.0;0.0;0.0;1.16;0.0;0.0;1.05;2.94;1.1;0.0;0.0;0.0;0.0;2.24;0.23;1.32;10.040;0.908
frame_2041_1;0.0;0.0;0.0;0.64;0.28;0.2;0.0;0.0;1.72;0.96;0.0;0.13;1.2;0.0;0.0;0.0;2.29;7.420;0.701
frame_2122_1;0.3;0.0;1.2;0.02;1.74;2.26;0.96;1.62;1.31;1.56;0.59;0.0;1.24;0.0;2.32;1.3;0.0;16.420;0.809
frame_2184_1;0.1;0.0;0.0;1.04;0.5;0.03;0.0;0.0;1.81;2.05;0.0;0.0;0.0;0.0;1.04;0.36;0.0;6.930;0.671
frame_2194_1;0.04;0.0;0.0;1.27;1.12;0.0;0.09;1.98;2.37;1.83;0.0;0.0;0.89;0.0;3.4;0.87;0.0;13.860;1.048
frame_2537_1;0.77;0.0;0.0;0.0;0.11;0.73;0.32;1.15;0.03;0.49;0.0;0.0;0.44;0.0;1.0;1.14;0.0;6.180;0.437
frame_3041_1;0.0;0.19;0.0;0.9;1.33;0.0;0.0;0.52;2.76;1.4;0.0;0.0;0.17;0.0;0.34;0.0;0.82;8.430;0.754
frame_3310_1;2.07;2.0;0.28;0.0;0.0;0.0;0.05;0.0;0.22;0.0;0.0;0.0;0.25;0.0;1.79;0.06;1.14;7.860;0.764
jZviry4qZhM_frame_2141_1;0.0;0.0;0.1;0.0;0.87;0.97;0.0;1.01;1.9;1.62;0.0;0.0;0.16;0.0;3.02;1.65;2.23;13.530;0.969
TIW2_1F1;0.24;0.0;0.27;0.0;1.26;0.0;1.24;2.69;2.72;0.69;1.4;0.0;2.78;0.0;2.88;0.0;2.09;18.260;1.148
TIW2_2F1;0.18;0.52;0.0;0.0;1.01;2.2;0.0;1.33;2.61;2.29;0.0;0.0;0.0;0.0;2.43;0.0;0.19;12.760;1.011
TIW2_3F1;4.39;0.92;0.0;0.0;1.66;0.0;1.18;3.29;2.69;1.98;0.54;0.0;1.24;0.0;2.3;0.0;0.26;20.450;1.342
